TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
415269	"g__JACKDM01"	1	1.0	12.03	0.0	0.0	49.0	0.9592	0.837	0.837	21	0.0	1	0.0	0.0	"415269:g__JACKDM01:genus;341977:f__UBA1532:family;341976:o__UBA7976:order;306259:c__Bradymonadia:class;257763:p__Myxococcota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
341977	"f__UBA1532"	1	1.0	12.03	0.0	0.0	49.0	0.9592	0.837	0.837	21	0.0	1	0.0	0.0	"341977:f__UBA1532:family;341976:o__UBA7976:order;306259:c__Bradymonadia:class;257763:p__Myxococcota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
341976	"o__UBA7976"	1	1.0	12.03	0.0	0.0	49.0	0.9592	0.837	0.837	21	0.0	1	0.0	0.0	"341976:o__UBA7976:order;306259:c__Bradymonadia:class;257763:p__Myxococcota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
428567	"GB_GCA_011523385.1"	1	1.0	1.01	0.0	0.0	37.0	0.973	0.595	0.568	9	0.0	1	0.0	0.0	"428567:GB_GCA_011523385.1:subspecies;428566:s__Bin75 sp011523385:species;303445:g__Bin75:genus;303444:f__UBA8639:family;257591:o__Nitrospirales:order;257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
428566	"s__Bin75 sp011523385"	1	1.0	1.01	0.0	0.0	37.0	0.973	0.595	0.568	9	0.0	1	0.0	0.0	"428566:s__Bin75 sp011523385:species;303445:g__Bin75:genus;303444:f__UBA8639:family;257591:o__Nitrospirales:order;257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
303445	"g__Bin75"	1	1.0	1.01	0.0	0.0	37.0	0.973	0.595	0.568	9	0.0	1	0.0	0.0	"303445:g__Bin75:genus;303444:f__UBA8639:family;257591:o__Nitrospirales:order;257590:c__Nitrospiria:class;257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
380531	"GB_GCA_934149515.1"	1	1.0	1.75	0	0	41.0	0.9512	0.415	0.415	13	0.0	1	0.0	0.0	"380531:GB_GCA_934149515.1:subspecies;380529:s__Onthousia sp934149515:species;291284:g__Onthousia:genus;267873:f__UBA660:family;267872:o__RF39:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
380529	"s__Onthousia sp934149515"	1	1.0	1.75	0	0	41.0	0.9512	0.415	0.415	13	0.0	1	0.0	0.0	"380529:s__Onthousia sp934149515:species;291284:g__Onthousia:genus;267873:f__UBA660:family;267872:o__RF39:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
480494	"GB_GCA_012519385.1"	1	1.0	1.72	0	0	33.0	0.9697	0.515	0.515	5	0.0	1	0.0	0.0	"480494:GB_GCA_012519385.1:subspecies;480493:s__JAAYQI01 sp012519385:species;480492:g__JAAYQI01:genus;256139:f__Anaerotignaceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
480493	"s__JAAYQI01 sp012519385"	1	1.0	1.72	0	0	33.0	0.9697	0.515	0.515	5	0.0	1	0.0	0.0	"480493:s__JAAYQI01 sp012519385:species;480492:g__JAAYQI01:genus;256139:f__Anaerotignaceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
480492	"g__JAAYQI01"	1	1.0	1.72	0	0	33.0	0.9697	0.515	0.515	5	0.0	1	0.0	0.0	"480492:g__JAAYQI01:genus;256139:f__Anaerotignaceae:family;190738:o__Lachnospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
451085	"RS_GCF_001636565.1"	1	1.0	6.46	0	0.0	39.0	0.9744	0.718	0.737	11	0.0	1	0.0	0.0	"451085:RS_GCF_001636565.1:subspecies;451084:s__Frankia sp001636565:species;273006:g__Frankia:genus;273005:f__Frankiaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
451084	"s__Frankia sp001636565"	1	1.0	6.46	0	0.0	39.0	0.9744	0.718	0.737	11	0.0	1	0.0	0.0	"451084:s__Frankia sp001636565:species;273006:g__Frankia:genus;273005:f__Frankiaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
