TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
410196	"s__UBA9382 sp003476595"	2	1.0	2.45	0.0	0.0	56.0	0.9642	0.715	0.705	56	0.0	2	0.0	0.0	"410196:s__UBA9382 sp003476595:species;410195:g__UBA9382:genus;378451:f__JACDCH01:family;246208:o__Acidimicrobiales:order;245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
410195	"g__UBA9382"	2	1.0	2.45	0.0	0.0	56.0	0.9642	0.715	0.705	56	0.0	2	0.0	0.0	"410195:g__UBA9382:genus;378451:f__JACDCH01:family;246208:o__Acidimicrobiales:order;245798:c__Acidimicrobiia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
463797	"GB_GCA_021790995.1"	2	1.0	2.24	0.0	0	44.0	0.9545	0.616	0.636	32	0.0	2	0.5	0.0	"463797:GB_GCA_021790995.1:subspecies;463796:s__Terracidiphilus sp021790995:species;259505:g__Terracidiphilus:genus;259504:f__Acidobacteriaceae:family;253211:o__Terriglobales:order;251792:c__Terriglobia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
463796	"s__Terracidiphilus sp021790995"	2	1.0	2.24	0.0	0	44.0	0.9545	0.616	0.636	32	0.0	2	0.5	0.0	"463796:s__Terracidiphilus sp021790995:species;259505:g__Terracidiphilus:genus;259504:f__Acidobacteriaceae:family;253211:o__Terriglobales:order;251792:c__Terriglobia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
263630	"g__UBA8401"	2	1.0	1.31	0	0.0	39.5	0.9627	0.441	0.468	23	0.0	2	0.0	0.0	"263630:g__UBA8401:genus;263629:f__UBA8401:family;263628:o__UBA10030:order;263627:c__UBA10030:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
258166	"f__HK1"	2	1.0	2.2	0.0	0.0	48.0	0.9696	0.628	0.635	40	0.0	2	0.0	0.0	"258166:f__HK1:family;258165:o__HK1:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
396765	"GB_GCA_903895005.1"	2	1.0	2.2	0	0.0	36.0	0.9594	0.606	0.639	16	0.0	2	0.0	0.0	"396765:GB_GCA_903895005.1:subspecies;396764:s__CAITSH01 sp903895005:species;396763:g__CAITSH01:genus;298638:f__SG8-39:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
396764	"s__CAITSH01 sp903895005"	2	1.0	2.2	0	0.0	36.0	0.9594	0.606	0.639	16	0.0	2	0.0	0.0	"396764:s__CAITSH01 sp903895005:species;396763:g__CAITSH01:genus;298638:f__SG8-39:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
379998	"g__UBA5066"	2	1.0	2.38	0	0.0	51.0	0.9712	0.718	0.721	46	0.0	3	0.0	0.0	"379998:g__UBA5066:genus;297795:f__UBA5066:family;297794:o__UBA5066:order;297793:c__Thermoanaerobaculia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
377042	"RS_GCF_011493005.1"	2	1.0	2.17	0.0	0.0	38.5	0.9615	0.607	0.623	21	0.0	2	0.0	0.0	"377042:RS_GCF_011493005.1:subspecies;377041:s__Caballeronia sp011493005:species;247600:g__Caballeronia:genus;147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
377041	"s__Caballeronia sp011493005"	2	1.0	2.17	0.0	0.0	38.5	0.9615	0.607	0.623	21	0.0	2	0.0	0.0	"377041:s__Caballeronia sp011493005:species;247600:g__Caballeronia:genus;147451:f__Burkholderiaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
6063	"RS_GCF_009674605.1"	2	1.0	2.52	0	0.5	42.0	0.9653	0.584	0.595	28	0.0	2	0.0	0.0	"6063:RS_GCF_009674605.1:subspecies;6062:s__Haloferax litoreum:species;476:g__Haloferax:genus;475:f__Haloferacaceae:family;474:o__Halobacteriales:order;473:c__Halobacteria:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
6062	"s__Haloferax litoreum"	2	1.0	2.52	0	0.5	42.0	0.9653	0.584	0.595	28	0.0	2	0.0	0.0	"6062:s__Haloferax litoreum:species;476:g__Haloferax:genus;475:f__Haloferacaceae:family;474:o__Halobacteriales:order;473:c__Halobacteria:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
476	"g__Haloferax"	2	1.0	2.52	0	0.5	42.0	0.9653	0.584	0.595	28	0.0	2	0.0	0.0	"476:g__Haloferax:genus;475:f__Haloferacaceae:family;474:o__Halobacteriales:order;473:c__Halobacteria:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
475	"f__Haloferacaceae"	2	1.0	2.52	0	0.5	42.0	0.9653	0.584	0.595	28	0.0	2	0.0	0.0	"475:f__Haloferacaceae:family;474:o__Halobacteriales:order;473:c__Halobacteria:class;3:p__Halobacteriota:phylum;2:d__Archaea:superkingdom;1:root:no rank"
362938	"g__Rubripirellula"	2	1.0	2.43	0.0	0	42.0	0.9523	0.603	0.583	28	0.0	2	0.0	0.0	"362938:g__Rubripirellula:genus;291255:f__Pirellulaceae:family;267818:o__Pirellulales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
399558	"RS_GCF_001549985.1"	2	1.0	2.12	0.0	0	31.5	1.0	0.317	0.317	7	0.0	2	0.0	0.0	"399558:RS_GCF_001549985.1:subspecies;399557:s__Flavobacterium odoratum_A:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
399557	"s__Flavobacterium odoratum_A"	2	1.0	2.12	0.0	0	31.5	1.0	0.317	0.317	7	0.0	2	0.0	0.0	"399557:s__Flavobacterium odoratum_A:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
